rule_id,expected,actual,tp,fn,fp,precision,recall
GCI0003,53,139,30,23,109,21.58273381294964,56.60377358490566
GCI0004,53,142,33,20,109,23.239436619718308,62.264150943396224
GCI0006,29,108,13,16,95,12.037037037037036,44.827586206896555
GCI0007,11,10,1,10,9,10.0,9.090909090909092
GCI0010,19,14,0,19,14,0.0,0.0
GCI0012,11,10,0,11,10,0.0,0.0
GCI0016,15,30,2,13,28,6.666666666666667,13.333333333333334
GCI0021,11,7,0,11,7,0.0,0.0
GCI0022,6,3,0,6,3,0.0,0.0
GCI0024,19,49,6,13,43,12.244897959183673,31.57894736842105
GCI0029,9,5,0,9,5,0.0,0.0
GCI0032,0,63,0,0,63,0.0,0
GCI0036,117,7,5,112,2,71.42857142857143,4.273504273504273
GCI0038,0,29,0,0,29,0.0,0
GCI0039,9,8,0,9,8,0.0,0.0
GCI0041,12,32,2,10,30,6.25,16.666666666666664
GCI0042,0,38,0,0,38,0.0,0
GCI0043,0,75,0,0,75,0.0,0
GCI0044,0,33,0,0,33,0.0,0
GCI0045,0,25,0,0,25,0.0,0
GCI0046,0,21,0,0,21,0.0,0
GCI0047,0,4,0,0,4,0.0,0
GCI0049,0,5,0,0,5,0.0,0
